"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","B5-TYPES-PRELIM.20","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","24432","SYNTHESIZE.01","","Tue Nov 12 00:36:48 GMT 2024","passed","Tue Nov 12 00:37:12 GMT 2024","","SYNTH-BUFFER","SYNTH-BUFFER",""
"","2","METTALOGTESTCURRIED2.03","","Tue Nov 12 00:41:05 GMT 2024","passed","Tue Nov 12 00:41:05 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","14","D3-DEPTYPES.04","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","112","UNWEIGHTED-PLLM.06","","Tue Nov 12 02:07:36 GMT 2024","failed","Tue Nov 12 02:07:36 GMT 2024","","LANGUAGE-MODELS","LANGUAGE-MODELS",""
"","947","BC-IMPL.01","","Tue Nov 12 01:46:34 GMT 2024","passed","Tue Nov 12 01:46:34 GMT 2024","","WALK-THRU","WALK-THRU",""
"","3","E2-STATES.01","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","2","E2-STATES.10","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","4000","transpiler.let_superpose_if_case","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:23 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","INF-CTL-MONTH-XP-SHORT-3.05","","Tue Nov 12 02:01:24 GMT 2024","passed","Tue Nov 12 02:01:24 GMT 2024","","COMPARISONS","COMPARISONS",""
"","2","BACKWARD-CHAINER-XP.37","","Tue Nov 12 01:13:21 GMT 2024","passed","Tue Nov 12 01:13:21 GMT 2024","","BACKWARD-CHAINER","BACKWARD-CHAINER",""
"","2","XOR-TEST.04","","Tue Nov 12 00:35:03 GMT 2024","passed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","80","STATE-TYPES.19","","Tue Nov 12 01:55:07 GMT 2024","failed","Tue Nov 12 01:55:07 GMT 2024","","BASIC","BASIC",""
"","69","D2-HIGHERFUNC.07","","Tue Nov 12 00:33:24 GMT 2024","failed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","B5-TYPES-PRELIM.17","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","135","CREATION.01","","Tue Nov 12 01:06:31 GMT 2024","failed","Tue Nov 12 01:06:31 GMT 2024","","TRAVERSER","TRAVERSER",""
"","2","INTERSECTION-TESTS.14","","Tue Nov 12 00:35:03 GMT 2024","passed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","16","TEST-INFER-FUNCTION-APPLICATION-TYPE.02","","Tue Nov 12 01:55:07 GMT 2024","failed","Tue Nov 12 01:55:07 GMT 2024","","BASIC","BASIC",""
"","392","NATSIMPLETEST.04","","Tue Nov 12 01:16:21 GMT 2024","failed","Tue Nov 12 01:16:21 GMT 2024","","HOL","HOL",""
